Algo,Source,Target,Type
Hybrid,ax_000,class,LiNGAM
Hybrid,ax_000,cg_000,PC_Rescue
Hybrid,ax_000,cs_var,PC_Rescue
Hybrid,cb_000,class,LiNGAM
Hybrid,cb_000,ax_000,PC_Rescue
Hybrid,cb_000,cs_var,PC_Rescue
Hybrid,aa_000,ax_000,LiNGAM
Hybrid,aa_000,cb_000,LiNGAM
Hybrid,aa_000,cg_000,LiNGAM
Hybrid,aa_000,ee_mean,LiNGAM
Hybrid,aa_000,cs_var,LiNGAM
Hybrid,aa_000,cs_mean,LiNGAM
Hybrid,aa_000,ai_000,LiNGAM
Hybrid,aa_000,class,LiNGAM
Hybrid,aa_000,bk_000,PC_Rescue
Hybrid,cg_000,class,LiNGAM
Hybrid,ee_mean,class,LiNGAM
Hybrid,ee_mean,cg_000,PC_Rescue
Hybrid,ee_mean,cs_var,PC_Rescue
Hybrid,cs_var,class,LiNGAM
Hybrid,cs_var,cg_000,PC_Rescue
Hybrid,bk_000,class,LiNGAM
Hybrid,bk_000,ax_000,PC_Rescue
Hybrid,bk_000,cg_000,PC_Rescue
Hybrid,bk_000,cs_var,PC_Rescue
Hybrid,bk_000,ai_000,PC_Rescue
Hybrid,cs_mean,class,LiNGAM
Hybrid,cs_mean,ax_000,PC_Rescue
Hybrid,cs_mean,cg_000,PC_Rescue
Hybrid,cs_mean,cs_var,PC_Rescue
Hybrid,cs_mean,ai_000,PC_Rescue
Hybrid,ai_000,class,LiNGAM
