Algo,Source,Target,n_features
LiNGAM,cb_000,ck_000,6
LiNGAM,cb_000,class,6
LiNGAM,ck_000,class,6
LiNGAM,ag_009,cb_000,6
LiNGAM,ag_009,ck_000,6
LiNGAM,ag_009,class,6
LiNGAM,cn_001,ck_000,6
LiNGAM,cn_001,ag_009,6
LiNGAM,cn_001,class,6
PC,cb_000,class,6
PC,ck_000,class,6
PC,ag_009,class,6
PC,cn_001,class,6
LiNGAM,cb_000,ck_000,8
LiNGAM,ck_000,class,8
LiNGAM,ag_009,cb_000,8
LiNGAM,ag_009,ck_000,8
LiNGAM,ag_009,ba_008,8
LiNGAM,ag_009,class,8
LiNGAM,ba_008,cb_000,8
LiNGAM,ba_008,ck_000,8
LiNGAM,ba_008,class,8
LiNGAM,cn_001,ck_000,8
LiNGAM,cn_001,ag_009,8
LiNGAM,cn_001,ba_008,8
LiNGAM,cn_001,class,8
LiNGAM,ay_000,cb_000,8
LiNGAM,ay_000,ba_008,8
LiNGAM,ay_000,class,8
PC,cb_000,cn_001,8
PC,cb_000,class,8
PC,ck_000,ay_000,8
PC,ck_000,class,8
PC,ag_009,cb_000,8
PC,ag_009,ck_000,8
PC,ag_009,ba_008,8
PC,ag_009,class,8
PC,ba_008,cn_001,8
PC,ba_008,class,8
PC,cn_001,ck_000,8
PC,cn_001,class,8
PC,ay_000,cb_000,8
PC,ay_000,ba_008,8
LiNGAM,cb_000,ck_000,9
LiNGAM,ck_000,class,9
LiNGAM,ag_009,cb_000,9
LiNGAM,ag_009,ck_000,9
LiNGAM,ag_009,ba_008,9
LiNGAM,ag_009,class,9
LiNGAM,ba_008,cb_000,9
LiNGAM,ba_008,ck_000,9
LiNGAM,ba_008,class,9
LiNGAM,cn_001,ck_000,9
LiNGAM,cn_001,ag_009,9
LiNGAM,cn_001,ba_008,9
LiNGAM,cn_001,class,9
LiNGAM,bk_000,class,9
LiNGAM,dg_000,cb_000,9
LiNGAM,dg_000,ck_000,9
LiNGAM,dg_000,ag_009,9
LiNGAM,dg_000,cn_001,9
LiNGAM,dg_000,class,9
LiNGAM,ay_000,cb_000,9
LiNGAM,ay_000,ba_008,9
LiNGAM,ay_000,class,9
PC,cb_000,ck_000,9
PC,cb_000,cn_001,9
PC,cb_000,bk_000,9
PC,cb_000,class,9
PC,ck_000,bk_000,9
PC,ck_000,class,9
PC,ag_009,cb_000,9
PC,ag_009,ck_000,9
PC,ag_009,ba_008,9
PC,ag_009,bk_000,9
PC,ag_009,class,9
PC,ba_008,ck_000,9
PC,ba_008,cn_001,9
PC,ba_008,bk_000,9
PC,ba_008,class,9
PC,cn_001,ck_000,9
PC,cn_001,bk_000,9
PC,cn_001,class,9
PC,bk_000,class,9
PC,dg_000,cb_000,9
PC,dg_000,ck_000,9
PC,dg_000,ba_008,9
PC,dg_000,cn_001,9
PC,ay_000,cb_000,9
PC,ay_000,ck_000,9
PC,ay_000,ba_008,9
PC,ay_000,cn_001,9
PC,ay_000,bk_000,9
LiNGAM,cb_000,ck_000,12
LiNGAM,ck_000,class,12
LiNGAM,ag_009,cb_000,12
LiNGAM,ag_009,ck_000,12
LiNGAM,ag_009,ba_008,12
LiNGAM,bk_000,br_000,12
LiNGAM,bk_000,ba_008,12
LiNGAM,bk_000,class,12
LiNGAM,ai_000,cb_000,12
LiNGAM,ai_000,ck_000,12
LiNGAM,ai_000,ag_009,12
LiNGAM,ai_000,bk_000,12
LiNGAM,ai_000,ba_008,12
LiNGAM,ai_000,class,12
LiNGAM,br_000,cb_000,12
LiNGAM,br_000,ag_009,12
LiNGAM,br_000,ba_008,12
LiNGAM,ba_008,cb_000,12
LiNGAM,ba_008,ck_000,12
LiNGAM,ba_008,class,12
LiNGAM,cn_001,ck_000,12
LiNGAM,cn_001,ag_009,12
LiNGAM,cn_001,ba_008,12
LiNGAM,cn_001,class,12
LiNGAM,dg_000,cb_000,12
LiNGAM,dg_000,ck_000,12
LiNGAM,dg_000,ag_009,12
LiNGAM,dg_000,cn_001,12
LiNGAM,dg_000,class,12
LiNGAM,ay_000,cb_000,12
LiNGAM,ay_000,ba_008,12
LiNGAM,ay_000,class,12
PC,cb_000,ck_000,12
PC,cb_000,bk_000,12
PC,cb_000,cn_001,12
PC,cb_000,class,12
PC,ck_000,bk_000,12
PC,ck_000,class,12
PC,ag_009,cb_000,12
PC,ag_009,ck_000,12
PC,ag_009,bk_000,12
PC,ag_009,ai_000,12
PC,ag_009,ba_008,12
PC,bk_000,class,12
PC,ai_000,cb_000,12
PC,ai_000,ck_000,12
PC,ai_000,bk_000,12
PC,ai_000,ba_008,12
PC,ai_000,class,12
PC,br_000,cb_000,12
PC,br_000,ck_000,12
PC,br_000,bk_000,12
PC,br_000,ai_000,12
PC,br_000,ba_008,12
PC,br_000,cn_001,12
PC,br_000,class,12
PC,ba_008,ck_000,12
PC,ba_008,bk_000,12
PC,ba_008,cn_001,12
PC,ba_008,class,12
PC,cn_001,ck_000,12
PC,cn_001,bk_000,12
PC,cn_001,class,12
PC,dg_000,cb_000,12
PC,dg_000,ck_000,12
PC,dg_000,ba_008,12
PC,dg_000,cn_001,12
PC,ay_000,cb_000,12
PC,ay_000,ck_000,12
PC,ay_000,bk_000,12
PC,ay_000,ba_008,12
PC,ay_000,cn_001,12
PC,ay_000,class,12
