Algo,Node,Role,PyMC_Mean,PyMC_Odds_Ratio,n_features
LiNGAM,ag_009,Mediator,,,8
LiNGAM,ay_000,Root,0.195,1.215310986489731,8
LiNGAM,ba_008,Mediator,,,8
LiNGAM,cb_000,Mediator,,,8
LiNGAM,ck_000,Mediator,,,8
LiNGAM,class,Target,,,8
LiNGAM,cn_001,Root,0.957,2.6038731248931537,8
PC,ag_009,Root,0.427,1.5326526617240188,8
PC,ay_000,Mediator,,,8
PC,ba_008,Mediator,,,8
PC,cb_000,Mediator,,,8
PC,ck_000,Mediator,,,8
PC,class,Target,,,8
PC,cn_001,Mediator,,,8
LiNGAM,ag_009,Mediator,,,12
LiNGAM,ai_000,Root,0.971,2.640583723225504,12
LiNGAM,ay_000,Root,0.232,1.2611197288283291,12
LiNGAM,ba_008,Mediator,,,12
LiNGAM,bk_000,Mediator,,,12
LiNGAM,br_000,Mediator,,,12
LiNGAM,cb_000,Mediator,,,12
LiNGAM,ck_000,Mediator,,,12
LiNGAM,class,Target,,,12
LiNGAM,cn_001,Mediator,,,12
LiNGAM,dg_000,Root,0.284,1.328432930752795,12
PC,ag_009,Root,0.461,1.5856588512805472,12
PC,ai_000,Mediator,,,12
PC,ay_000,Root,0.247,1.28017911277827,12
PC,ba_008,Mediator,,,12
PC,bk_000,Mediator,,,12
PC,br_000,Root,0.113,1.119631932948586,12
PC,cb_000,Mediator,,,12
PC,ck_000,Mediator,,,12
PC,class,Target,,,12
PC,cn_001,Mediator,,,12
PC,dg_000,Root,0.261,1.29822766543369,12
