feature,mean_abs_shap
aa_000,0.852987127517151
bi_000,0.31062383403049465
cb_000,0.19955909134381988
bk_000,0.168751521419435
ay_006,0.15097461856653294
bj_000,0.11428932319617113
ag_007,0.11425481013928752
ai_000,0.10791644340566518
ck_000,0.08956256354679845
ci_000,0.08488363330125726
ap_000,0.08424840442060988
ay_008,0.07595717065016383
ao_000,0.0721029527713627
bc_000,0.07142934455169996
bs_000,0.06806276498959837
cs_000,0.06625168111355083
ee_009,0.06272746562345036
cm_000,0.05587766364358149
cl_000,0.053939325468261724
az_001,0.05219691688459631
cs_002,0.04857774033498597
am_0,0.04817284758912686
de_000,0.0472934750996804
bt_000,0.04647574028808863
cu_000,0.04592829391688537
ag_004,0.04515754510224759
cs_007,0.044535593402577824
cg_000,0.04391288812508099
cs_008,0.043823490459023944
bb_000,0.041580965936065334
ag_009,0.04135149133649584
cc_000,0.03955377220224139
cn_002,0.03763896838035585
co_000,0.03740838101037538
cz_000,0.03679320303810983
bd_000,0.036775236929354894
aq_000,0.03674255120921355
az_003,0.036530800036666235
bm_000,0.03518244660979659
bz_000,0.03436110162531321
cx_000,0.033968824945550175
dn_000,0.033668700599983586
ag_002,0.0331014323647538
bx_000,0.033045064493449745
ba_008,0.032507818799600706
az_002,0.03234872945112157
dv_000,0.03207378065511201
ag_001,0.03170523213940464
ee_005,0.030943458954568535
az_006,0.03046158224674631
cs_004,0.03022626184164066
bl_000,0.02959496836476331
ay_005,0.02940188117282902
ag_006,0.028669351132220265
ee_008,0.02865569890313954
ax_000,0.02858044987973269
cj_000,0.027991305042599827
ee_004,0.027023673694110233
ee_003,0.026982226915186418
cs_006,0.026326501316789826
ag_008,0.024848315298890124
cf_000,0.024689089855698496
ee_007,0.024367261459038864
ca_000,0.02425647397458161
dy_000,0.024149163138418427
ba_006,0.02343948027178802
aj_000,0.022705566285521683
ad_000,0.022698973079521755
ct_000,0.0222800006690363
an_000,0.021844134569547598
av_000,0.021170789549431537
be_000,0.02059678975027223
ag_003,0.020365306537495877
cs_003,0.020140971274992536
ay_007,0.019882248591520723
ag_005,0.01875853194290756
cn_009,0.0184159734807928
du_000,0.018058135895487062
cn_007,0.017611471333495082
cn_008,0.016273784799927218
ed_000,0.016022395829221936
cy_000,0.01595172226569338
db_000,0.015186293086705839
cn_003,0.015134822628002496
cp_000,0.014860077600683827
az_005,0.014767551298361976
cv_000,0.014554608366527793
dp_000,0.014467124651695695
dt_000,0.013922114220080937
eb_000,0.012963813947786094
bf_000,0.01242500686892824
da_000,0.011829721239960983
ee_002,0.011762565630197947
dx_000,0.01154422811663474
ac_000,0.01101332677935805
al_000,0.010608070714547663
ay_002,0.010394898879430733
ba_007,0.010312867993545078
ay_009,0.010148716784544895
cn_000,0.010146129534184156
dr_000,0.010095441402319622
do_000,0.009414247583717441
ds_000,0.009277884910526307
dq_000,0.009038366496233944
cn_006,0.008906271974316376
ch_000,0.00882437593990945
ba_005,0.008246647045091565
ee_000,0.00815227131883751
ba_004,0.008080726278039829
cn_005,0.007991507533251061
bh_000,0.007947052350477993
ba_009,0.0076293626981483184
at_000,0.007584202606560226
cn_001,0.007582343316938616
cs_001,0.007264288947554139
ah_000,0.007236287837171119
az_009,0.007166970454542201
dc_000,0.006426086484131144
az_007,0.0061383103588132076
ay_000,0.0059901779775961336
az_000,0.0059725263226942625
ba_002,0.005912835450868093
ba_001,0.005775182116200295
dd_000,0.005490600853617936
ee_001,0.005361694720804302
ay_004,0.005254052168578626
Module_11_Connectivity,0.004862072827859924
az_004,0.0046672368884364615
ee_006,0.004369542296815683
ay_003,0.004020971889789467
ar_000,0.0038888884793436417
Module_8_Connectivity,0.0035613424517611505
ba_003,0.002828689651822148
dg_000,0.00270072222435771
az_008,0.0024846444575026046
ec_00,0.002103074613776145
by_000,0.002072475223559772
cn_004,0.0015268940990679845
di_000,0.0013952572809956309
Module_10_Connectivity,0.0012725046699477306
Module_4_Connectivity,0.0011146634689188206
dh_000,0.0010842191658291351
ba_000,0.0009111519801359578
Module_1_Connectivity,0.000834624080403572
cs_005,0.000748613806722707
bu_000,0.0006670461557025849
ce_000,0.00041699971075558154
ak_000,0.00041142702174400576
bg_000,0.00035890923989304654
Module_5_Connectivity,0.00023582173241215086
ay_001,0.00020540491257524894
Module_13_Connectivity,0.0001942761593770282
df_000,0.0001581861654285957
ag_000,6.491500850581126e-05
Module_9_Connectivity,2.402123367379046e-05
dk_000,1.4919837511679646e-05
af_000,1.1799234364126345e-05
Module_7_Connectivity,0.0
Module_6_Connectivity,0.0
Module_2_Connectivity,0.0
ae_000,0.0
Module_12_Connectivity,0.0
Module_3_Connectivity,0.0
cq_000,0.0
eg_000,0.0
ef_000,0.0
bv_000,0.0
au_000,0.0
cs_009,0.0
ea_000,0.0
dz_000,0.0
dj_000,0.0
dl_000,0.0
dm_000,0.0
as_000,0.0
